     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
  3822  9.1400453037D-03  5.6238245226D-02 -3.8116977215D+00  2.2643832560D-01  6.5133884986D+00  4.0433881814D+01
  3823  9.1588466721D-03  5.6366558562D-02 -3.8195461898D+00  2.2669637286D-01  6.5133681443D+00  4.0433629105D+01
  3824  9.1776867156D-03  5.6495164110D-02 -3.8274108360D+00  2.2695471281D-01  6.5133477435D+00  4.0433375818D+01
  3825  9.1965655137D-03  5.6624062532D-02 -3.8352916937D+00  2.2721334575D-01  6.5133272960D+00  4.0433121950D+01
  3826  9.2154831462D-03  5.6753254490D-02 -3.8431887967D+00  2.2747227200D-01  6.5133068015D+00  4.0432867502D+01
  3827  9.2344396926D-03  5.6882740654D-02 -3.8511021781D+00  2.2773149193D-01  6.5132862601D+00  4.0432612472D+01
  3828  9.2534352333D-03  5.7012521689D-02 -3.8590318715D+00  2.2799100583D-01  6.5132656717D+00  4.0432356857D+01
  3829  9.2724698487D-03  5.7142598264D-02 -3.8669779110D+00  2.2825081405D-01  6.5132450360D+00  4.0432100658D+01
  3830  9.2915436186D-03  5.7272971049D-02 -3.8749403302D+00  2.2851091691D-01  6.5132243531D+00  4.0431843873D+01
  3831  9.3106566240D-03  5.7403640717D-02 -3.8829191626D+00  2.2877131474D-01  6.5132036228D+00  4.0431586500D+01
  3832  9.3298089456D-03  5.7534607942D-02 -3.8909144429D+00  2.2903200787D-01  6.5131828449D+00  4.0431328538D+01
  3833  9.3490006638D-03  5.7665873397D-02 -3.8989262044D+00  2.2929299663D-01  6.5131620195D+00  4.0431069987D+01
  3834  9.3682318602D-03  5.7797437761D-02 -3.9069544814D+00  2.2955428135D-01  6.5131411465D+00  4.0430810843D+01
  3835  9.3875026158D-03  5.7929301708D-02 -3.9149993078D+00  2.2981586236D-01  6.5131202254D+00  4.0430551106D+01
  3836  9.4068130122D-03  5.8061465922D-02 -3.9230607186D+00  2.3007773999D-01  6.5130992565D+00  4.0430290775D+01
  3837  9.4261631304D-03  5.8193931083D-02 -3.9311387468D+00  2.3033991457D-01  6.5130782395D+00  4.0430029848D+01
  3838  9.4455530523D-03  5.8326697871D-02 -3.9392334277D+00  2.3060238644D-01  6.5130571743D+00  4.0429768323D+01
  3839  9.4649828601D-03  5.8459766973D-02 -3.9473447955D+00  2.3086515593D-01  6.5130360609D+00  4.0429506201D+01
  3840  9.4844526357D-03  5.8593139073D-02 -3.9554728846D+00  2.3112822337D-01  6.5130148991D+00  4.0429243479D+01
  3841  9.5039624613D-03  5.8726814859D-02 -3.9636177294D+00  2.3139158908D-01  6.5129936887D+00  4.0428980155D+01
  3842  9.5235124191D-03  5.8860795018D-02 -3.9717793646D+00  2.3165525341D-01  6.5129724299D+00  4.0428716229D+01
  3843  9.5431025916D-03  5.8995080244D-02 -3.9799578250D+00  2.3191921668D-01  6.5129511223D+00  4.0428451698D+01
  3844  9.5627330619D-03  5.9129671226D-02 -3.9881531455D+00  2.3218347924D-01  6.5129297657D+00  4.0428186563D+01
  3845  9.5824039128D-03  5.9264568657D-02 -3.9963653609D+00  2.3244804142D-01  6.5129083603D+00  4.0427920820D+01
  3846  9.6021152274D-03  5.9399773234D-02 -4.0045945061D+00  2.3271290356D-01  6.5128869058D+00  4.0427654469D+01
  3847  9.6218670885D-03  5.9535285652D-02 -4.0128406154D+00  2.3297806597D-01  6.5128654021D+00  4.0427387509D+01
  3848  9.6416595801D-03  5.9671106610D-02 -4.0211037249D+00  2.3324352901D-01  6.5128438492D+00  4.0427119938D+01
  3849  9.6614927853D-03  5.9807236808D-02 -4.0293838694D+00  2.3350929299D-01  6.5128222468D+00  4.0426851754D+01
  3850  9.6813667881D-03  5.9943676945D-02 -4.0376810837D+00  2.3377535828D-01  6.5128005950D+00  4.0426582956D+01
  3851  9.7012816722D-03  6.0080427728D-02 -4.0459954035D+00  2.3404172519D-01  6.5127788935D+00  4.0426313543D+01
  3852  9.7212375222D-03  6.0217489856D-02 -4.0543268639D+00  2.3430839407D-01  6.5127571423D+00  4.0426043514D+01
  3853  9.7412344218D-03  6.0354864040D-02 -4.0626755006D+00  2.3457536525D-01  6.5127353411D+00  4.0425772867D+01
  3854  9.7612724556D-03  6.0492550984D-02 -4.0710413486D+00  2.3484263907D-01  6.5127134901D+00  4.0425501600D+01
  3855  9.7813517085D-03  6.0630551399D-02 -4.0794244442D+00  2.3511021587D-01  6.5126915890D+00  4.0425229712D+01
  3856  9.8014722648D-03  6.0768865996D-02 -4.0878248226D+00  2.3537809598D-01  6.5126696375D+00  4.0424957201D+01
  3857  9.8216342100D-03  6.0907495486D-02 -4.0962425196D+00  2.3564627975D-01  6.5126476359D+00  4.0424684068D+01
  3858  9.8418376287D-03  6.1046440584D-02 -4.1046775709D+00  2.3591476751D-01  6.5126255838D+00  4.0424410308D+01
  3859  9.8620826067D-03  6.1185702005D-02 -4.1131300123D+00  2.3618355959D-01  6.5126034810D+00  4.0424135923D+01
  3860  9.8823692292D-03  6.1325280466D-02 -4.1215998801D+00  2.3645265635D-01  6.5125813278D+00  4.0423860908D+01
  3861  9.9026975820D-03  6.1465176686D-02 -4.1300872099D+00  2.3672205812D-01  6.5125591236D+00  4.0423585265D+01
  3862  9.9230677509D-03  6.1605391386D-02 -4.1385920384D+00  2.3699176525D-01  6.5125368685D+00  4.0423308990D+01
  3863  9.9434798220D-03  6.1745925288D-02 -4.1471144010D+00  2.3726177806D-01  6.5125145626D+00  4.0423032084D+01
  3864  9.9639338811D-03  6.1886779115D-02 -4.1556543344D+00  2.3753209692D-01  6.5124922054D+00  4.0422754543D+01
  3865  9.9844300149D-03  6.2027953592D-02 -4.1642118748D+00  2.3780272214D-01  6.5124697969D+00  4.0422476367D+01
  3866  1.0004968310D-02  6.2169449447D-02 -4.1727870588D+00  2.3807365408D-01  6.5124473370D+00  4.0422197554D+01
  3867  1.0025548853D-02  6.2311267408D-02 -4.1813799227D+00  2.3834489308D-01  6.5124248258D+00  4.0421918103D+01
  3868  1.0046171731D-02  6.2453408204D-02 -4.1899905028D+00  2.3861643947D-01  6.5124022628D+00  4.0421638013D+01
  3869  1.0066837031D-02  6.2595872569D-02 -4.1986188360D+00  2.3888829362D-01  6.5123796482D+00  4.0421357281D+01
  3870  1.0087544840D-02  6.2738661235D-02 -4.2072649591D+00  2.3916045584D-01  6.5123569817D+00  4.0421075906D+01
  3871  1.0108295246D-02  6.2881774938D-02 -4.2159289085D+00  2.3943292649D-01  6.5123342631D+00  4.0420793887D+01
  3872  1.0129088335D-02  6.3025214414D-02 -4.2246107216D+00  2.3970570593D-01  6.5123114926D+00  4.0420511222D+01
  3873  1.0149924197D-02  6.3168980401D-02 -4.2333104349D+00  2.3997879447D-01  6.5122886698D+00  4.0420227911D+01
  3874  1.0170802919D-02  6.3313073641D-02 -4.2420280856D+00  2.4025219248D-01  6.5122657947D+00  4.0419943950D+01
  3875  1.0191724589D-02  6.3457494873D-02 -4.2507637104D+00  2.4052590030D-01  6.5122428671D+00  4.0419659339D+01
  3876  1.0212689296D-02  6.3602244843D-02 -4.2595173469D+00  2.4079991827D-01  6.5122198870D+00  4.0419374077D+01
  3877  1.0233697128D-02  6.3747324295D-02 -4.2682890323D+00  2.4107424674D-01  6.5121968541D+00  4.0419088163D+01
  3878  1.0254748174D-02  6.3892733975D-02 -4.2770788036D+00  2.4134888605D-01  6.5121737685D+00  4.0418801592D+01
  3879  1.0275842522D-02  6.4038474633D-02 -4.2858866988D+00  2.4162383655D-01  6.5121506299D+00  4.0418514367D+01
  3880  1.0296980262D-02  6.4184547017D-02 -4.2947127546D+00  2.4189909859D-01  6.5121274382D+00  4.0418226483D+01
  3881  1.0318161483D-02  6.4330951880D-02 -4.3035570088D+00  2.4217467251D-01  6.5121041935D+00  4.0417937940D+01
  3882  1.0339386274D-02  6.4477689977D-02 -4.3124194994D+00  2.4245055867D-01  6.5120808953D+00  4.0417648737D+01
  3883  1.0360654726D-02  6.4624762060D-02 -4.3213002636D+00  2.4272675741D-01  6.5120575437D+00  4.0417358872D+01
  3884  1.0381966927D-02  6.4772168889D-02 -4.3301993395D+00  2.4300326907D-01  6.5120341385D+00  4.0417068342D+01
  3885  1.0403322969D-02  6.4919911220D-02 -4.3391167651D+00  2.4328009401D-01  6.5120106797D+00  4.0416777148D+01
  3886  1.0424722940D-02  6.5067989815D-02 -4.3480525780D+00  2.4355723258D-01  6.5119871671D+00  4.0416485286D+01
  3887  1.0446166932D-02  6.5216405435D-02 -4.3570068163D+00  2.4383468512D-01  6.5119636007D+00  4.0416192756D+01
  3888  1.0467655035D-02  6.5365158845D-02 -4.3659795179D+00  2.4411245198D-01  6.5119399800D+00  4.0415899558D+01
  3889  1.0489187340D-02  6.5514250808D-02 -4.3749707216D+00  2.4439053352D-01  6.5119163053D+00  4.0415605686D+01
  3890  1.0510763937D-02  6.5663682093D-02 -4.3839804650D+00  2.4466893009D-01  6.5118925763D+00  4.0415311142D+01
  3891  1.0532384918D-02  6.5813453468D-02 -4.3930087866D+00  2.4494764202D-01  6.5118687928D+00  4.0415015924D+01
  3892  1.0554050374D-02  6.5963565704D-02 -4.4020557247D+00  2.4522666969D-01  6.5118449547D+00  4.0414720029D+01
  3893  1.0575760396D-02  6.6114019575D-02 -4.4111213183D+00  2.4550601344D-01  6.5118210620D+00  4.0414423458D+01
  3894  1.0597515077D-02  6.6264815851D-02 -4.4202056057D+00  2.4578567362D-01  6.5117971144D+00  4.0414126207D+01
  3895  1.0619314508D-02  6.6415955312D-02 -4.4293086255D+00  2.4606565058D-01  6.5117731121D+00  4.0413828275D+01
  3896  1.0641158781D-02  6.6567438733D-02 -4.4384304165D+00  2.4634594467D-01  6.5117490545D+00  4.0413529660D+01
  3897  1.0663047988D-02  6.6719266893D-02 -4.4475710173D+00  2.4662655625D-01  6.5117249419D+00  4.0413230363D+01
  3898  1.0684982223D-02  6.6871440574D-02 -4.4567304668D+00  2.4690748568D-01  6.5117007738D+00  4.0412930379D+01
  3899  1.0706961576D-02  6.7023960559D-02 -4.4659088044D+00  2.4718873330D-01  6.5116765504D+00  4.0412629708D+01
  3900  1.0728986142D-02  6.7176827633D-02 -4.4751060690D+00  2.4747029947D-01  6.5116522714D+00  4.0412328350D+01
  3901  1.0751056013D-02  6.7330042579D-02 -4.4843222994D+00  2.4775218455D-01  6.5116279367D+00  4.0412026300D+01
  3902  1.0773171283D-02  6.7483606190D-02 -4.4935575352D+00  2.4803438888D-01  6.5116035462D+00  4.0411723558D+01
  3903  1.0795332044D-02  6.7637519252D-02 -4.5028118157D+00  2.4831691282D-01  6.5115790996D+00  4.0411420124D+01
  3904  1.0817538391D-02  6.7791782558D-02 -4.5120851797D+00  2.4859975674D-01  6.5115545971D+00  4.0411115994D+01
  3905  1.0839790417D-02  6.7946396901D-02 -4.5213776672D+00  2.4888292098D-01  6.5115300384D+00  4.0410811168D+01
  3906  1.0862088216D-02  6.8101363076D-02 -4.5306893179D+00  2.4916640591D-01  6.5115054232D+00  4.0410505644D+01
  3907  1.0884431882D-02  6.8256681882D-02 -4.5400201711D+00  2.4945021188D-01  6.5114807516D+00  4.0410199420D+01
  3908  1.0906821510D-02  6.8412354115D-02 -4.5493702664D+00  2.4973433924D-01  6.5114560233D+00  4.0409892494D+01
  3909  1.0929257195D-02  6.8568380576D-02 -4.5587396440D+00  2.5001878835D-01  6.5114312385D+00  4.0409584866D+01
  3910  1.0951739030D-02  6.8724762067D-02 -4.5681283435D+00  2.5030355958D-01  6.5114063966D+00  4.0409276533D+01
  3911  1.0974267111D-02  6.8881499395D-02 -4.5775364049D+00  2.5058865327D-01  6.5113814978D+00  4.0408967493D+01
  3912  1.0996841533D-02  6.9038593363D-02 -4.5869638683D+00  2.5087406980D-01  6.5113565418D+00  4.0408657745D+01
  3913  1.1019462391D-02  6.9196044779D-02 -4.5964107737D+00  2.5115980951D-01  6.5113315286D+00  4.0408347288D+01
  3914  1.1042129781D-02  6.9353854453D-02 -4.6058771614D+00  2.5144587277D-01  6.5113064581D+00  4.0408036120D+01
  3915  1.1064843799D-02  6.9512023196D-02 -4.6153630719D+00  2.5173225994D-01  6.5112813299D+00  4.0407724239D+01
  3916  1.1087604540D-02  6.9670551823D-02 -4.6248685451D+00  2.5201897136D-01  6.5112561441D+00  4.0407411643D+01
  3917  1.1110412101D-02  6.9829441146D-02 -4.6343936221D+00  2.5230600743D-01  6.5112309005D+00  4.0407098332D+01
  3918  1.1133266577D-02  6.9988691984D-02 -4.6439383426D+00  2.5259336847D-01  6.5112055990D+00  4.0406784302D+01
  3919  1.1156168066D-02  7.0148305155D-02 -4.6535027480D+00  2.5288105487D-01  6.5111802394D+00  4.0406469554D+01
  3920  1.1179116665D-02  7.0308281479D-02 -4.6630868789D+00  2.5316906698D-01  6.5111548217D+00  4.0406154084D+01
  3921  1.1202112469D-02  7.0468621779D-02 -4.6726907757D+00  2.5345740515D-01  6.5111293455D+00  4.0405837892D+01
  3922  1.1225155576D-02  7.0629326879D-02 -4.6823144795D+00  2.5374606977D-01  6.5111038109D+00  4.0405520974D+01
  3923  1.1248246084D-02  7.0790397605D-02 -4.6919580313D+00  2.5403506118D-01  6.5110782177D+00  4.0405203331D+01
  3924  1.1271384089D-02  7.0951834783D-02 -4.7016214724D+00  2.5432437975D-01  6.5110525659D+00  4.0404884960D+01
  3925  1.1294569691D-02  7.1113639247D-02 -4.7113048433D+00  2.5461402585D-01  6.5110268551D+00  4.0404565860D+01
  3926  1.1317802985D-02  7.1275811825D-02 -4.7210081859D+00  2.5490399984D-01  6.5110010853D+00  4.0404246029D+01
  3927  1.1341084072D-02  7.1438353351D-02 -4.7307315412D+00  2.5519430208D-01  6.5109752563D+00  4.0403925464D+01
  3928  1.1364413048D-02  7.1601264661D-02 -4.7404749501D+00  2.5548493294D-01  6.5109493680D+00  4.0403604165D+01
  3929  1.1387790013D-02  7.1764546592D-02 -4.7502384551D+00  2.5577589277D-01  6.5109234205D+00  4.0403282131D+01
  3930  1.1411215065D-02  7.1928199983D-02 -4.7600220975D+00  2.5606718196D-01  6.5108974133D+00  4.0402959357D+01
  3931  1.1434688302D-02  7.2092225676D-02 -4.7698259181D+00  2.5635880086D-01  6.5108713463D+00  4.0402635845D+01
  3932  1.1458209826D-02  7.2256624512D-02 -4.7796499599D+00  2.5665074984D-01  6.5108452196D+00  4.0402311591D+01
  3933  1.1481779734D-02  7.2421397336D-02 -4.7894942638D+00  2.5694302927D-01  6.5108190328D+00  4.0401986594D+01
  3934  1.1505398125D-02  7.2586544995D-02 -4.7993588720D+00  2.5723563952D-01  6.5107927860D+00  4.0401660853D+01
  3935  1.1529065101D-02  7.2752068339D-02 -4.8092438266D+00  2.5752858093D-01  6.5107664789D+00  4.0401334365D+01
  3936  1.1552780761D-02  7.2917968216D-02 -4.8191491694D+00  2.5782185391D-01  6.5107401114D+00  4.0401007129D+01
  3937  1.1576545204D-02  7.3084245479D-02 -4.8290749429D+00  2.5811545879D-01  6.5107136834D+00  4.0400679143D+01
  3938  1.1600358531D-02  7.3250900983D-02 -4.8390211896D+00  2.5840939597D-01  6.5106871947D+00  4.0400350405D+01
  3939  1.1624220844D-02  7.3417935584D-02 -4.8489879511D+00  2.5870366580D-01  6.5106606452D+00  4.0400020914D+01
  3940  1.1648132241D-02  7.3585350139D-02 -4.8589752703D+00  2.5899826864D-01  6.5106340348D+00  4.0399690667D+01
  3941  1.1672092826D-02  7.3753145508D-02 -4.8689831899D+00  2.5929320489D-01  6.5106073632D+00  4.0399359664D+01
  3942  1.1696102698D-02  7.3921322554D-02 -4.8790117523D+00  2.5958847488D-01  6.5105806304D+00  4.0399027902D+01
  3943  1.1720161959D-02  7.4089882142D-02 -4.8890610004D+00  2.5988407902D-01  6.5105538363D+00  4.0398695380D+01
  3944  1.1744270711D-02  7.4258825135D-02 -4.8991309765D+00  2.6018001767D-01  6.5105269806D+00  4.0398362095D+01
  3945  1.1768429055D-02  7.4428152402D-02 -4.9092217238D+00  2.6047629119D-01  6.5105000632D+00  4.0398028048D+01
  3946  1.1792637094D-02  7.4597864812D-02 -4.9193332858D+00  2.6077289995D-01  6.5104730841D+00  4.0397693234D+01
  3947  1.1816894929D-02  7.4767963237D-02 -4.9294657045D+00  2.6106984433D-01  6.5104460430D+00  4.0397357653D+01
  3948  1.1841202664D-02  7.4938448551D-02 -4.9396190239D+00  2.6136712471D-01  6.5104189398D+00  4.0397021303D+01
  3949  1.1865560400D-02  7.5109321629D-02 -4.9497932869D+00  2.6166474145D-01  6.5103917744D+00  4.0396684181D+01
  3950  1.1889968241D-02  7.5280583349D-02 -4.9599885373D+00  2.6196269492D-01  6.5103645465D+00  4.0396346287D+01
  3951  1.1914426290D-02  7.5452234589D-02 -4.9702048175D+00  2.6226098551D-01  6.5103372562D+00  4.0396007619D+01
  3952  1.1938934650D-02  7.5624276233D-02 -4.9804421719D+00  2.6255961357D-01  6.5103099031D+00  4.0395668173D+01
  3953  1.1963493424D-02  7.5796709161D-02 -4.9907006438D+00  2.6285857951D-01  6.5102824873D+00  4.0395327950D+01
  3954  1.1988102716D-02  7.5969534261D-02 -5.0009802772D+00  2.6315788366D-01  6.5102550085D+00  4.0394986948D+01
  3955  1.2012762631D-02  7.6142752419D-02 -5.0112811154D+00  2.6345752643D-01  6.5102274666D+00  4.0394645162D+01
  3956  1.2037473272D-02  7.6316364525D-02 -5.0216032028D+00  2.6375750819D-01  6.5101998614D+00  4.0394302595D+01
  3957  1.2062234743D-02  7.6490371470D-02 -5.0319465831D+00  2.6405782930D-01  6.5101721929D+00  4.0393959241D+01
  3958  1.2087047150D-02  7.6664774148D-02 -5.0423112999D+00  2.6435849015D-01  6.5101444607D+00  4.0393615101D+01
  3959  1.2111910596D-02  7.6839573453D-02 -5.0526973984D+00  2.6465949111D-01  6.5101166650D+00  4.0393270170D+01
  3960  1.2136825188D-02  7.7014770283D-02 -5.0631049219D+00  2.6496083256D-01  6.5100888053D+00  4.0392924450D+01
  3961  1.2161791029D-02  7.7190365537D-02 -5.0735339153D+00  2.6526251488D-01  6.5100608817D+00  4.0392577937D+01
  3962  1.2186808226D-02  7.7366360117D-02 -5.0839844227D+00  2.6556453844D-01  6.5100328938D+00  4.0392230629D+01
  3963  1.2211876885D-02  7.7542754926D-02 -5.0944564888D+00  2.6586690363D-01  6.5100048417D+00  4.0391882526D+01
  3964  1.2236997110D-02  7.7719550868D-02 -5.1049501584D+00  2.6616961081D-01  6.5099767252D+00  4.0391533624D+01
  3965  1.2262169008D-02  7.7896748853D-02 -5.1154654761D+00  2.6647266037D-01  6.5099485441D+00  4.0391183921D+01
  3966  1.2287392686D-02  7.8074349789D-02 -5.1260024862D+00  2.6677605270D-01  6.5099202982D+00  4.0390833418D+01
  3967  1.2312668250D-02  7.8252354587D-02 -5.1365612341D+00  2.6707978816D-01  6.5098919875D+00  4.0390482111D+01
  3968  1.2337995806D-02  7.8430764161D-02 -5.1471417650D+00  2.6738386715D-01  6.5098636117D+00  4.0390129997D+01
  3969  1.2363375462D-02  7.8609579427D-02 -5.1577441231D+00  2.6768829004D-01  6.5098351707D+00  4.0389777077D+01
  3970  1.2388807325D-02  7.8788801302D-02 -5.1683683547D+00  2.6799305720D-01  6.5098066645D+00  4.0389423347D+01
  3971  1.2414291502D-02  7.8968430705D-02 -5.1790145042D+00  2.6829816902D-01  6.5097780926D+00  4.0389068806D+01
  3972  1.2439828100D-02  7.9148468559D-02 -5.1896826174D+00  2.6860362589D-01  6.5097494552D+00  4.0388713452D+01
  3973  1.2465417229D-02  7.9328915786D-02 -5.2003727399D+00  2.6890942820D-01  6.5097207518D+00  4.0388357282D+01
  3974  1.2491058995D-02  7.9509773315D-02 -5.2110849169D+00  2.6921557630D-01  6.5096919827D+00  4.0388000297D+01
  3975  1.2516753506D-02  7.9691042070D-02 -5.2218191940D+00  2.6952207059D-01  6.5096631474D+00  4.0387642493D+01
  3976  1.2542500873D-02  7.9872722984D-02 -5.2325756171D+00  2.6982891146D-01  6.5096342457D+00  4.0387283867D+01
  3977  1.2568301202D-02  8.0054816988D-02 -5.2433542323D+00  2.7013609929D-01  6.5096052778D+00  4.0386924420D+01
  3978  1.2594154604D-02  8.0237325016D-02 -5.2541550854D+00  2.7044363446D-01  6.5095762431D+00  4.0386564148D+01
  3979  1.2620061187D-02  8.0420248004D-02 -5.2649782219D+00  2.7075151736D-01  6.5095471419D+00  4.0386203049D+01
  3980  1.2646021060D-02  8.0603586890D-02 -5.2758236890D+00  2.7105974836D-01  6.5095179737D+00  4.0385841124D+01
  3981  1.2672034334D-02  8.0787342614D-02 -5.2866915319D+00  2.7136832787D-01  6.5094887385D+00  4.0385478367D+01
  3982  1.2698101118D-02  8.0971516121D-02 -5.2975817970D+00  2.7167725626D-01  6.5094594361D+00  4.0385114778D+01
  3983  1.2724221522D-02  8.1156108354D-02 -5.3084945317D+00  2.7198653391D-01  6.5094300665D+00  4.0384750355D+01
  3984  1.2750395657D-02  8.1341120259D-02 -5.3194297814D+00  2.7229616123D-01  6.5094006292D+00  4.0384385097D+01
  3985  1.2776623633D-02  8.1526552787D-02 -5.3303875933D+00  2.7260613858D-01  6.5093711244D+00  4.0384019000D+01
  3986  1.2802905560D-02  8.1712406885D-02 -5.3413680141D+00  2.7291646636D-01  6.5093415516D+00  4.0383652064D+01
  3987  1.2829241551D-02  8.1898683511D-02 -5.3523710901D+00  2.7322714496D-01  6.5093119110D+00  4.0383284287D+01
  3988  1.2855631715D-02  8.2085383617D-02 -5.3633968689D+00  2.7353817476D-01  6.5092822021D+00  4.0382915665D+01
  3989  1.2882076165D-02  8.2272508161D-02 -5.3744453971D+00  2.7384955616D-01  6.5092524250D+00  4.0382546197D+01
  3990  1.2908575012D-02  8.2460058103D-02 -5.3855167221D+00  2.7416128954D-01  6.5092225795D+00  4.0382175882D+01
  3991  1.2935128368D-02  8.2648034404D-02 -5.3966108909D+00  2.7447337529D-01  6.5091926653D+00  4.0381804717D+01
  3992  1.2961736344D-02  8.2836438028D-02 -5.4077279504D+00  2.7478581380D-01  6.5091626823D+00  4.0381432702D+01
  3993  1.2988399055D-02  8.3025269942D-02 -5.4188679488D+00  2.7509860546D-01  6.5091326306D+00  4.0381059833D+01
  3994  1.3015116611D-02  8.3214531112D-02 -5.4300309329D+00  2.7541175067D-01  6.5091025095D+00  4.0380686107D+01
  3995  1.3041889127D-02  8.3404222510D-02 -5.4412169505D+00  2.7572524980D-01  6.5090723194D+00  4.0380311525D+01
  3996  1.3068716714D-02  8.3594345108D-02 -5.4524260498D+00  2.7603910327D-01  6.5090420597D+00  4.0379936082D+01
  3997  1.3095599486D-02  8.3784899880D-02 -5.4636582776D+00  2.7635331143D-01  6.5090117306D+00  4.0379559779D+01
  3998  1.3122537558D-02  8.3975887803D-02 -5.4749136829D+00  2.7666787471D-01  6.5089813316D+00  4.0379182612D+01
  3999  1.3149531041D-02  8.4167309856D-02 -5.4861923129D+00  2.7698279349D-01  6.5089508629D+00  4.0378804580D+01
  4000  1.3176580052D-02  8.4359167021D-02 -5.4974942157D+00  2.7729806817D-01  6.5089203240D+00  4.0378425681D+01
  4001  1.3203684702D-02  8.4551460279D-02 -5.5088194402D+00  2.7761369913D-01  6.5088897149D+00  4.0378045911D+01
  4002  1.3230845108D-02  8.4744190618D-02 -5.5201680339D+00  2.7792968676D-01  6.5088590354D+00  4.0377665270D+01
  4003  1.3258061384D-02  8.4937359025D-02 -5.5315400458D+00  2.7824603148D-01  6.5088282853D+00  4.0377283756D+01
  4004  1.3285333645D-02  8.5130966490D-02 -5.5429355239D+00  2.7856273365D-01  6.5087974647D+00  4.0376901367D+01
  4005  1.3312662005D-02  8.5325014004D-02 -5.5543545172D+00  2.7887979369D-01  6.5087665730D+00  4.0376518098D+01
  4006  1.3340046581D-02  8.5519502563D-02 -5.5657970737D+00  2.7919721199D-01  6.5087356103D+00  4.0376133952D+01
  4007  1.3367487488D-02  8.5714433162D-02 -5.5772632434D+00  2.7951498894D-01  6.5087045765D+00  4.0375748923D+01
  4008  1.3394984842D-02  8.5909806801D-02 -5.5887530741D+00  2.7983312494D-01  6.5086734712D+00  4.0375363011D+01
  4009  1.3422538758D-02  8.6105624481D-02 -5.6002666155D+00  2.8015162039D-01  6.5086422944D+00  4.0374976213D+01
  4010  1.3450149354D-02  8.6301887204D-02 -5.6118039163D+00  2.8047047569D-01  6.5086110459D+00  4.0374588527D+01
  4011  1.3477816746D-02  8.6498595978D-02 -5.6233650257D+00  2.8078969122D-01  6.5085797256D+00  4.0374199951D+01
  4012  1.3505541050D-02  8.6695751807D-02 -5.6349499935D+00  2.8110926738D-01  6.5085483332D+00  4.0373810484D+01
  4013  1.3533322384D-02  8.6893355704D-02 -5.6465588687D+00  2.8142920458D-01  6.5085168685D+00  4.0373420122D+01
  4014  1.3561160866D-02  8.7091408680D-02 -5.6581917007D+00  2.8174950322D-01  6.5084853315D+00  4.0373028864D+01
  4015  1.3589056612D-02  8.7289911751D-02 -5.6698485392D+00  2.8207016369D-01  6.5084537220D+00  4.0372636708D+01
  4016  1.3617009740D-02  8.7488865932D-02 -5.6815294342D+00  2.8239118640D-01  6.5084220397D+00  4.0372243652D+01
  4017  1.3645020369D-02  8.7688272243D-02 -5.6932344355D+00  2.8271257173D-01  6.5083902845D+00  4.0371849694D+01
  4018  1.3673088617D-02  8.7888131704D-02 -5.7049635928D+00  2.8303432010D-01  6.5083584563D+00  4.0371454831D+01
  4019  1.3701214602D-02  8.8088445341D-02 -5.7167169560D+00  2.8335643190D-01  6.5083265549D+00  4.0371059061D+01
  4020  1.3729398443D-02  8.8289214178D-02 -5.7284945759D+00  2.8367890754D-01  6.5082945800D+00  4.0370662383D+01
  4021  1.3757640259D-02  8.8490439243D-02 -5.7402965018D+00  2.8400174741D-01  6.5082625316D+00  4.0370264794D+01
  4022  1.3785940170D-02  8.8692121567D-02 -5.7521227848D+00  2.8432495192D-01  6.5082304095D+00  4.0369866292D+01
  4023  1.3814298294D-02  8.8894262184D-02 -5.7639734750D+00  2.8464852147D-01  6.5081982134D+00  4.0369466876D+01
  4024  1.3842714752D-02  8.9096862126D-02 -5.7758486231D+00  2.8497245646D-01  6.5081659433D+00  4.0369066542D+01
  4025  1.3871189663D-02  8.9299922433D-02 -5.7877482803D+00  2.8529675729D-01  6.5081335988D+00  4.0368665289D+01
  4026  1.3899723148D-02  8.9503444144D-02 -5.7996724962D+00  2.8562142437D-01  6.5081011800D+00  4.0368263115D+01
  4027  1.3928315328D-02  8.9707428301D-02 -5.8116213225D+00  2.8594645811D-01  6.5080686866D+00  4.0367860018D+01
  4028  1.3956966323D-02  8.9911875947D-02 -5.8235948099D+00  2.8627185890D-01  6.5080361183D+00  4.0367455994D+01
  4029  1.3985676253D-02  9.0116788131D-02 -5.8355930098D+00  2.8659762715D-01  6.5080034751D+00  4.0367051043D+01
  4030  1.4014445241D-02  9.0322165901D-02 -5.8476159730D+00  2.8692376326D-01  6.5079707568D+00  4.0366645162D+01
  4031  1.4043273408D-02  9.0528010308D-02 -5.8596637510D+00  2.8725026766D-01  6.5079379632D+00  4.0366238349D+01
  4032  1.4072160875D-02  9.0734322405D-02 -5.8717363950D+00  2.8757714072D-01  6.5079050942D+00  4.0365830601D+01
  4033  1.4101107764D-02  9.0941103250D-02 -5.8838339569D+00  2.8790438286D-01  6.5078721494D+00  4.0365421916D+01
  4034  1.4130114199D-02  9.1148353900D-02 -5.8959564881D+00  2.8823199450D-01  6.5078391288D+00  4.0365012294D+01
  4035  1.4159180300D-02  9.1356075414D-02 -5.9081040408D+00  2.8855997605D-01  6.5078060323D+00  4.0364601730D+01
