     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
    67  4.0722588807D-06  1.0650683754D-05 -1.6967755902D-03  3.1169416626D-03  6.5222860204D+00  4.0544425526D+01
    68  4.0806356487D-06  1.0675029631D-05 -1.7002659098D-03  3.1205020627D-03  6.5222860165D+00  4.0544425478D+01
    69  4.0890296481D-06  1.0699431160D-05 -1.7037634092D-03  3.1240665298D-03  6.5222860127D+00  4.0544425430D+01
    70  4.0974409140D-06  1.0723888466D-05 -1.7072681030D-03  3.1276350684D-03  6.5222860088D+00  4.0544425382D+01
    71  4.1058694824D-06  1.0748401679D-05 -1.7107800062D-03  3.1312076832D-03  6.5222860049D+00  4.0544425335D+01
    72  4.1143153887D-06  1.0772970925D-05 -1.7142991334D-03  3.1347843790D-03  6.5222860010D+00  4.0544425286D+01
    73  4.1227786683D-06  1.0797596332D-05 -1.7178254996D-03  3.1383651603D-03  6.5222859972D+00  4.0544425238D+01
    74  4.1312593572D-06  1.0822278030D-05 -1.7213591197D-03  3.1419500319D-03  6.5222859932D+00  4.0544425189D+01
    75  4.1397574911D-06  1.0847016146D-05 -1.7249000085D-03  3.1455389983D-03  6.5222859894D+00  4.0544425140D+01
    76  4.1482731060D-06  1.0871810810D-05 -1.7284481810D-03  3.1491320644D-03  6.5222859854D+00  4.0544425092D+01
    77  4.1568062379D-06  1.0896662151D-05 -1.7320036525D-03  3.1527292347D-03  6.5222859815D+00  4.0544425042D+01
    78  4.1653569225D-06  1.0921570298D-05 -1.7355664374D-03  3.1563305139D-03  6.5222859776D+00  4.0544424994D+01
    79  4.1739251964D-06  1.0946535382D-05 -1.7391365512D-03  3.1599359068D-03  6.5222859736D+00  4.0544424945D+01
    80  4.1825110953D-06  1.0971557532D-05 -1.7427140088D-03  3.1635454180D-03  6.5222859696D+00  4.0544424896D+01
    81  4.1911146558D-06  1.0996636879D-05 -1.7462988255D-03  3.1671590522D-03  6.5222859657D+00  4.0544424847D+01
    82  4.1997359139D-06  1.1021773553D-05 -1.7498910162D-03  3.1707768142D-03  6.5222859617D+00  4.0544424797D+01
    83  4.2083749065D-06  1.1046967687D-05 -1.7534905960D-03  3.1743987087D-03  6.5222859577D+00  4.0544424748D+01
    84  4.2170316696D-06  1.1072219410D-05 -1.7570975804D-03  3.1780247404D-03  6.5222859538D+00  4.0544424698D+01
    85  4.2257062401D-06  1.1097528855D-05 -1.7607119846D-03  3.1816549139D-03  6.5222859498D+00  4.0544424649D+01
    86  4.2343986543D-06  1.1122896154D-05 -1.7643338237D-03  3.1852892341D-03  6.5222859458D+00  4.0544424598D+01
    87  4.2431089491D-06  1.1148321438D-05 -1.7679631130D-03  3.1889277057D-03  6.5222859417D+00  4.0544424549D+01
    88  4.2518371611D-06  1.1173804841D-05 -1.7715998678D-03  3.1925703335D-03  6.5222859378D+00  4.0544424499D+01
    89  4.2605833275D-06  1.1199346496D-05 -1.7752441036D-03  3.1962171220D-03  6.5222859337D+00  4.0544424449D+01
    90  4.2693474852D-06  1.1224946534D-05 -1.7788958358D-03  3.1998680762D-03  6.5222859297D+00  4.0544424398D+01
    91  4.2781296708D-06  1.1250605091D-05 -1.7825550796D-03  3.2035232008D-03  6.5222859256D+00  4.0544424347D+01
    92  4.2869299218D-06  1.1276322299D-05 -1.7862218508D-03  3.2071825006D-03  6.5222859215D+00  4.0544424298D+01
    93  4.2957482751D-06  1.1302098293D-05 -1.7898961645D-03  3.2108459803D-03  6.5222859174D+00  4.0544424247D+01
    94  4.3045847682D-06  1.1327933207D-05 -1.7935780365D-03  3.2145136446D-03  6.5222859134D+00  4.0544424197D+01
    95  4.3134394380D-06  1.1353827176D-05 -1.7972674821D-03  3.2181854983D-03  6.5222859093D+00  4.0544424145D+01
    96  4.3223123223D-06  1.1379780334D-05 -1.8009645171D-03  3.2218615464D-03  6.5222859052D+00  4.0544424094D+01
